CMDLINE python main.py
MEM 119.683594 1760682185.6799
CHLD 40864 49.433594 1760682185.6941
CHLD 40865 0.000000 1760682185.6942
MEM 119.683594 1760682185.8083
CHLD 40864 49.433594 1760682185.8232
CHLD 40865 0.000000 1760682185.8234
MEM 119.683594 1760682185.9362
CHLD 40864 49.433594 1760682185.9479
CHLD 40865 0.000000 1760682185.9479
MEM 119.683594 1760682186.0620
CHLD 40864 49.433594 1760682186.0732
CHLD 40865 0.000000 1760682186.0732
MEM 119.683594 1760682186.1882
CHLD 40864 49.433594 1760682186.2008
CHLD 40865 0.000000 1760682186.2008
MEM 119.683594 1760682186.3138
CHLD 40864 49.433594 1760682186.3250
CHLD 40865 0.000000 1760682186.3250
MEM 119.699219 1760682186.4389
CHLD 40864 49.449219 1760682186.4512
CHLD 40865 0.000000 1760682186.4512
MEM 119.699219 1760682186.5663
CHLD 40864 49.449219 1760682186.5817
CHLD 40865 0.000000 1760682186.5818
MEM 119.699219 1760682186.6973
CHLD 40864 49.449219 1760682186.7118
CHLD 40865 0.000000 1760682186.7119
MEM 119.699219 1760682186.8269
CHLD 40864 49.449219 1760682186.8406
CHLD 40865 0.000000 1760682186.8406
MEM 119.699219 1760682186.9577
CHLD 40864 49.449219 1760682186.9686
CHLD 40865 0.000000 1760682186.9686
MEM 119.699219 1760682187.0814
CHLD 40864 49.449219 1760682187.0921
CHLD 40865 0.000000 1760682187.0922
MEM 119.699219 1760682187.2062
CHLD 40864 49.449219 1760682187.2181
CHLD 40865 0.000000 1760682187.2181
MEM 119.699219 1760682187.3298
CHLD 40864 49.449219 1760682187.3408
CHLD 40865 0.000000 1760682187.3409
MEM 119.699219 1760682187.4527
CHLD 40864 49.449219 1760682187.4636
CHLD 40865 0.000000 1760682187.4636
MEM 119.714844 1760682187.5775
CHLD 40864 49.464844 1760682187.5916
CHLD 40865 0.000000 1760682187.5916
MEM 119.714844 1760682187.7056
CHLD 40864 49.464844 1760682187.7164
CHLD 40865 0.000000 1760682187.7164
MEM 119.714844 1760682187.8301
CHLD 40864 49.464844 1760682187.8447
CHLD 40865 0.000000 1760682187.8448
MEM 119.730469 1760682187.9604
CHLD 40864 49.480469 1760682187.9744
CHLD 40865 0.000000 1760682187.9745
MEM 119.730469 1760682188.0952
CHLD 40864 49.480469 1760682188.1147
CHLD 40865 0.000000 1760682188.1147
MEM 119.730469 1760682188.2378
CHLD 40864 49.480469 1760682188.2619
CHLD 40865 0.000000 1760682188.2620
MEM 119.730469 1760682188.3735
CHLD 40864 49.480469 1760682188.3849
CHLD 40865 0.000000 1760682188.3849
MEM 119.730469 1760682188.4973
CHLD 40864 49.480469 1760682188.5086
CHLD 40865 0.000000 1760682188.5086
MEM 119.730469 1760682188.6209
CHLD 40864 49.480469 1760682188.6325
CHLD 40865 0.000000 1760682188.6325
MEM 119.730469 1760682188.7440
CHLD 40864 49.480469 1760682188.7554
CHLD 40865 0.000000 1760682188.7555
MEM 119.730469 1760682188.8668
CHLD 40864 49.480469 1760682188.8778
CHLD 40865 0.000000 1760682188.8778
MEM 119.730469 1760682188.9992
CHLD 40864 49.480469 1760682189.0242
CHLD 40865 0.000000 1760682189.0242
MEM 119.730469 1760682189.1438
CHLD 40864 49.480469 1760682189.1644
CHLD 40865 0.000000 1760682189.1645
